name,stars,price,city,countryCode,countryName,address,location,url,latitude,longtitude
Coronade Hotel,4,67,Kuala Lumpur,MY,Malaysia,Jalan Walter Grenier,Kuala Lumpur Malaysia,http://www.coronade.com/contact.htm,3.14524,101.712
Corus Hotel Kuala Lumpur,4,57,Kuala Lumpur,MY,Malaysia,Jalan Ampang,Kuala Lumpur Malaysia,http://www.corushotelkl.com/,3.15987,101.715
Cottonfields Bangsar - Home Vacation,2,61,Kuala Lumpur,MY,Malaysia,92-1 Jalan Medang Kapas Bukit Bandaraya Bangsar,Kuala Lumpur Malaysia,http://www.cottonfieldsmalaysia.com/,3.14064,101.664
Crown Princess Kuala Lumpur,3,99999,Kuala Lumpur,MY,Malaysia,Jalan Tun Razak,Kuala Lumpur Malaysia,http://www.crownprincess.com.my/,3.16201,101.72
Crown Regency Serviced Suites,3,98,Kuala Lumpur,MY,Malaysia,12 Jalan P Ramlee,Kuala Lumpur Malaysia,http://www.crownregency.com.my/crown/,3.15502,101.709
Cube Hotel Kuala Lumpur,2,26,Kuala Lumpur,MY,Malaysia,180 Jalan Pudu,Kuala Lumpur Malaysia,http://www.kuala-lumpur.ws/,3.14324,101.708
D-Villa Boutique Apartments,3,99999,Kuala Lumpur,MY,Malaysia,225 Jalan Ampang,Kuala Lumpur Malaysia,http://www.holidayvillaapartmentsuiteskl.com/,3.16153,101.729
D-Villa Residence Kuala Lumpur,3,64,Kuala Lumpur,MY,Malaysia,225 Jalan Ampang,Kuala Lumpur Malaysia,,3.16022,101.726
Daffodils Park KL Hotel,2,25,Kuala Lumpur,MY,Malaysia,188 190 192 Jalan Pudu Off Bukit Bintang,Kuala Lumpur Malaysia,http://daffodilsparkhotels.com.my/,3.14313,101.708
Damas Suites and Residences,4,82,Kuala Lumpur,MY,Malaysia,Plaza Damas 3 No.63 Jalan Sri Hartamas 1 Taman Sri Hartamas,Kuala Lumpur Malaysia,http://moveandstay.com/kuala-lumpur-damas-suites-residences-40143-property.php,3.16275,101.656
De First Inn Kuala Lumpur,2,24,Kuala Lumpur,MY,Malaysia,No.2 Jalan Raja Laut,Kuala Lumpur Malaysia,http://www.kuala-lumpur.ws/,3.16171,101.696
De Nice Inn Kuala Lumpur,1,29,Kuala Lumpur,MY,Malaysia,No. 2 Jalan Awan Makmur OUG Square Jalan Klang Lama,Kuala Lumpur Malaysia,http://www.kuala-lumpur.ws/,3.08208,101.669
De Palma Ampang,4,44,Kuala Lumpur,MY,Malaysia,Jalan Selaman 1/2 Palm Square Ampang Point Jalan Ampang,Kuala Lumpur Malaysia,http://depalmahotel.com/,3.15707,101.753
dGarden Hotel,2,17,Kuala Lumpur,MY,Malaysia,No 45 Jalan Jejaka 5 Taman Maluri Cheras,Kuala Lumpur Malaysia,http://dgardenhotel.com/,3.12876,101.73
Doriental Inn Kuala Lumpur,2,25,Kuala Lumpur,MY,Malaysia,82 & 84 Jalan Petaling,Kuala Lumpur Malaysia,http://www.dorientalinn.com/,3.07204,101.694
Dorsett Regency Kuala Lumpur,4,73,Kuala Lumpur,MY,Malaysia,172 Jalan Imbi,Kuala Lumpur Malaysia,http://www.dorsettregency.com/kualalumpur,3.14724,101.716
Doubletree by Hilton Kuala Lumpur,5,87,Kuala Lumpur,MY,Malaysia,The Intermark 182 Jalan Tun Razak,Kuala Lumpur Malaysia,http://doubletree1.hilton.com/en_US/dt/hotel/KULDTDI-Doubletree-by-Hilton-Kuala-Lumpur/index.do,3.1616,101.72
Dragon Inn Premium Hotel,1,23,Kuala Lumpur,MY,Malaysia,14 Jalan Petaling Off Jala Tun Tan Cheng Lock,Kuala Lumpur Malaysia,http://dragoninnhotel-kl.com/,3.14518,101.698
